,uai,type_etablissement,statut_public_prive,nom_commune,libelle_departement,libelle_region,restauration,hebergement,ulis,type_contrat_prive,libelle_nature
0,0040103R,Ecole,Public,Château-Arnoux-Saint-Auban,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,0,0,1,SANS OBJET,ECOLE DE NIVEAU ELEMENTAIRE
1,0040199V,Ecole,Public,Manosque,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,1,0,0,SANS OBJET,ECOLE DE NIVEAU ELEMENTAIRE
2,0040305K,Ecole,Public,Sisteron,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,1,0,0,SANS OBJET,ECOLE DE NIVEAU ELEMENTAIRE
3,0040367C,Ecole,Public,Manosque,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,1,0,0,SANS OBJET,ECOLE DE NIVEAU ELEMENTAIRE
4,0040402R,Ecole,Public,Manosque,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,1,0,0,SANS OBJET,ECOLE DE NIVEAU ELEMENTAIRE
5,0171072Y,Ecole,Privé,Saujon,Charente-Maritime,Nouvelle-Aquitaine,1,0,0,CONTRAT D'ASSOCIATION TOUTES CLASSES,ECOLE DE NIVEAU ELEMENTAIRE
6,0171074A,Ecole,Privé,Saintes,Charente-Maritime,Nouvelle-Aquitaine,1,0,0,CONTRAT D'ASSOCIATION TOUTES CLASSES,ECOLE DE NIVEAU ELEMENTAIRE
7,0171086N,Ecole,Privé,Rochefort,Charente-Maritime,Nouvelle-Aquitaine,1,0,0,CONTRAT D'ASSOCIATION TOUTES CLASSES,ECOLE DE NIVEAU ELEMENTAIRE
8,0171087P,Ecole,Privé,Pont-l'Abbé-d'Arnoult,Charente-Maritime,Nouvelle-Aquitaine,1,1,0,CONTRAT D'ASSOCIATION TOUTES CLASSES,ECOLE DE NIVEAU ELEMENTAIRE
9,0171089S,Ecole,Privé,Pons,Charente-Maritime,Nouvelle-Aquitaine,1,0,0,CONTRAT D'ASSOCIATION TOUTES CLASSES,ECOLE DE NIVEAU ELEMENTAIRE
10,0241354S,Ecole,Public,Champcevinel,Dordogne,Nouvelle-Aquitaine,1,0,1,SANS OBJET,ECOLE DE NIVEAU ELEMENTAIRE
11,0250541C,Ecole,Public,Grandfontaine,Doubs,Bourgogne-Franche-Comté,1,0,0,SANS OBJET,ECOLE DE NIVEAU ELEMENTAIRE
